NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 03, 1974                                                                                    
ORIGIN TIME (Local)        :  09:21:00                                                                                            
LATITUDE                   :  -12.50                                                                                              
LONGITUDE                  :  -77.98                                                                                              
DEPTH (km)                 :  13.00                                                                                               
MAGNITUDE                  :  6.6 mb                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  09:21:00
NUMBER OF SAMPLES          :      4899
MAXIMUM ACCELERATION       :   -194.21    180.09    100.30
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
               T              EW              NS              UD
          0.0000          8.0457         -6.0011         12.2582
          0.0200          0.0007          9.7159          4.8122
          0.0400         -3.4263         11.6339          7.2532
          0.0600         -5.8993          4.4019          3.3822
          0.0800         -2.6173         -5.0501         -8.7918
          0.1000          0.9337         -4.6261         -5.5888
          0.1200          4.1887          2.9049          3.0892
          0.1400         -2.3343          2.8949         -0.7908
          0.1600         -5.9973          1.9799         -3.9428
          0.1800         -2.9333          2.0529          0.1372
          0.2000         -0.1283         -5.9161          9.0372
          0.2200         -2.2753         -3.6971          7.6982
          0.2400          9.6747          4.6879         -0.0768
          0.2600          1.6977          8.4529         -3.3438
          0.2800        -19.9003          4.2729         -0.3568
          0.3000         -9.5673         -5.8171         -6.4748
          0.3200          4.1577         -1.4631         -1.1868
          0.3400          1.9557          2.3559         -0.1038
          0.3600          4.1867          3.6609          2.0292
          0.3800         16.1957         -0.5801         11.9702
          0.4000         18.1687         -7.0881          1.0822
          0.4200          1.0667         -1.6771        -13.6558
          0.4400        -11.1463          4.1249         -8.1558
          0.4600        -13.4843          9.6819          5.2372
          0.4800         -9.8023          8.6599          2.6012
          0.5000          1.0427          1.8349         -3.0468
          0.5200          0.7877          3.2859         -0.2118
          0.5400         -3.4833          5.3769          1.7352
          0.5600          3.4327          8.6939         -5.9578
          0.5800         11.4267          2.7009         -3.7558
          0.6000          6.5097         -4.6891         -1.5688
          0.6200         -7.2533          4.1929         -8.9068
          0.6400        -14.5463          9.5469        -15.4568
          0.6600         -6.0723          7.6569         -8.5848
          0.6800          1.2167          4.7359         -2.5528
          0.7000         -1.7833         -6.3561        -15.3948
          0.7200          4.2197         -9.9331         -9.7338
          0.7400          8.0847         -4.1521          7.6732
          0.7600         -6.7933        -10.1361         12.2512
          0.7800        -10.4023        -16.6431         14.0202
          0.8000          1.9167        -16.7691         11.8932
          0.8200          7.3207         -5.0321         -1.3748
          0.8400          7.4427         13.1069         -1.8368
          0.8600          6.5817         17.1429          0.2882
          0.8800         -9.4193          6.1839         -8.4008
          0.9000        -29.5603          1.5899        -12.6158
          0.9200        -10.2223          5.5049         -2.5948
          0.9400         -1.1753          5.0329         12.3632
          0.9600        -21.0293         -0.0221          6.4562
          0.9800        -20.8773         -0.1741        -10.8538
          1.0000          4.6617          4.0209        -13.8508
          1.0200         19.3087          7.8329         -0.7448
          1.0400         11.6647         -1.1991         12.8642
          1.0600          2.4707        -14.5091          8.5712
          1.0800         -3.4573        -13.1281         -2.8108
          1.1000          3.3027         -5.2911         -1.1608
          1.1200          7.6157         -1.4051         -7.4828
          1.1400         -9.8163         -0.7891         -1.6208
          1.1600        -13.9883          0.3869         12.9962
          1.1800          7.9947          8.7999          4.2962
          1.2000         17.8767         15.2669         -4.1678
          1.2200          2.8457         -4.2721          4.9512
          1.2400         -7.2793        -16.7631         -1.6998
          1.2600          5.0367         -5.5511        -13.0048
          1.2800         11.4807          8.0869         -8.4058
          1.3000         -6.5553          1.2639        -14.0478
          1.3200         -6.3423         -8.6591        -18.0858
          1.3400          1.8927         -3.9151         -2.5578
          1.3600        -11.9853          3.0509          7.8162
          1.3800         -9.3453          7.3809         -4.3638
          1.4000          6.1837          8.1759        -18.2538
          1.4200          3.5167          1.9599        -23.0118
          1.4400         -1.6683         -6.4281        -14.0108
          1.4600         18.0897        -11.2681         -6.5368
          1.4800         25.6487        -11.8641         -4.2688
          1.5000         -2.1483         -8.8191          4.8582
          1.5200        -18.9553          1.8959         14.6732
          1.5400        -17.3933          5.4569         11.0152
          1.5600         -3.9243         -1.8941         -7.3988
          1.5800          5.9717         -1.9301        -29.9348
          1.6000         -1.8543          0.4799        -35.4098
          1.6200         -7.4863         -5.5831        -20.8378
          1.6400         -2.9213         -0.6151        -10.1888
          1.6600         -3.3393         19.3359        -18.8288
          1.6800         -9.9033         28.9579        -20.7808
          1.7000         -5.7283         16.1079         -7.3348
          1.7200          9.3447          6.5839        -10.0578
          1.7400         19.4397         12.7099        -16.7118
          1.7600         28.8847         12.9379        -19.8898
          1.7800         41.3707          0.4799        -13.6078
          1.8000         30.8917        -16.2671         -3.2828
          1.8200        -10.9773        -18.1381          0.6762
          1.8400        -31.5513          0.6399          0.4972
          1.8600        -19.0513          8.8529         -2.1858
          1.8800         -8.1393         -4.6671          0.8692
          1.9000         -4.9123         -5.0141          6.3312
          1.9200          1.8707          3.9179         18.4482
          1.9400          9.9887          8.4379         23.1852
          1.9600        -10.9733         -0.1271         25.4942
          1.9800        -29.6153        -28.7991         33.6282
          2.0000        -12.0903        -29.8841         24.0492
          2.0200         13.2477         -6.0491         -1.5418
          2.0400         24.8797          6.7709        -11.8348
          2.0600         19.8077          9.2739          3.4162
          2.0800         -2.4113          1.3079         12.0012
          2.1000        -13.1343          1.2989         10.6822
          2.1200        -18.8903         14.8189         17.5582
          2.1400        -30.5213         19.4099         21.5602
          2.1600        -22.6873         17.8649         22.0922
          2.1800         -2.6163          5.3339         14.5692
          2.2000          3.1377         -8.7461          0.6152
          2.2200         -4.4433         -9.3261         -7.9698
          2.2400          9.7287        -10.0671        -17.9168
          2.2600         32.3057        -12.6471        -22.4498
          2.2800         19.7877         -8.2501          0.6152
          2.3000          5.6247         -9.5211         16.0622
          2.3200         -1.9083         -9.4711         14.9282
          2.3400        -14.7783          4.4479         13.9232
          2.3600        -15.6063         26.7929          3.0612
          2.3800          8.9147         32.2869         -7.1488
          2.4000         19.7717          9.5659         -8.3208
          2.4200          4.2767        -14.2351          4.0302
          2.4400         -8.5113        -10.4611         21.3102
          2.4600        -11.4443          4.2099         35.4492
          2.4800         -0.8033         -8.0661         29.0822
          2.5000          4.6217        -30.3871          6.1232
          2.5200         -2.5583        -27.4451        -18.0898
          2.5400         -0.4103        -11.4521        -41.8588
          2.5600          3.0667         -1.9341        -39.6788
          2.5800         -4.9633         10.3639         -3.8308
          2.6000        -12.4353         34.3469         27.2062
          2.6200        -26.3993         60.0539         52.8972
          2.6400        -28.6963         50.4329         53.3972
          2.6600         -9.5513         11.9339         15.7132
          2.6800         11.5257          4.0209        -18.0058
          2.7000         30.8167          1.1919        -28.5888
          2.7200         40.8287        -18.9571         -2.4498
          2.7400         37.3657        -29.3801         10.9652
          2.7600          1.3647        -38.3611         -2.9438
          2.7800        -31.9963        -36.5001         -2.5508
          2.8000         -7.4643         -7.5431          0.1602
          2.8200         23.8257          3.2859          3.7672
          2.8400         10.7937         -8.4181          7.6672
          2.8600         -1.1903        -15.3521          9.8582
          2.8800          9.8157        -14.5811          3.6522
          2.9000         23.9177         -7.2431          7.3112
          2.9200         18.2087         -3.6221         22.4682
          2.9400         -6.5693         -5.9801          9.8692
          2.9600        -15.6473         -2.5241        -16.8258
          2.9800         -6.0743          9.0239        -30.6468
          3.0000         19.1427         24.6749        -20.7348
          3.0200         11.4167         19.0289         -5.3998
          3.0400         -7.6763        -12.9501         14.5882
          3.0600         -9.6263        -22.3741         32.6682
          3.0800        -23.0433         -6.1121         27.1422
          3.1000        -20.6573         -9.1271          7.0772
          3.1200         -3.3203        -15.8101          8.3982
          3.1400          7.5587          3.9139         19.3132
          3.1600         29.8557         31.1019         -7.2908
          3.1800         26.7597         27.2379         -7.8188
          3.2000         -3.4633          6.0389          6.4752
          3.2200         -3.5083         -5.0551         20.7032
          3.2400         12.1137        -15.2681         28.3522
          3.2600         18.6017        -16.0631         -9.4698
          3.2800          8.3297          6.7179        -12.7438
          3.3000          6.0367         36.4939         17.1542
          3.3200         -8.4953         30.4019          2.6352
          3.3400        -44.8123        -18.9361        -11.4148
          3.3600        -51.4193        -51.3851          6.8122
          3.3800        -18.4083        -31.3041         14.7782
          3.4000         42.1637         -5.7911         -2.2718
          3.4200         52.5587        -16.5221        -20.4588
          3.4400         13.6577        -21.2311        -11.2318
          3.4600         11.4127         -2.8671          6.1292
          3.4800          6.5787         10.1609         15.4762
          3.5000        -32.3473         12.0799         14.1482
          3.5200        -41.4593         12.9589          9.6872
          3.5400        -10.4623         14.6649          5.5842
          3.5600         -0.0363         12.7009         10.0042
          3.5800        -30.3503          5.1029         10.9052
          3.6000        -44.7403          5.3109         -4.2248
          3.6200        -25.3653         -3.4121        -22.3268
          3.6400          1.9227         -3.1941        -23.0218
          3.6600         21.1517         24.0549        -17.2628
          3.6800         26.9447         27.6549          0.5382
          3.7000          7.1277          4.2799         15.5562
          3.7200          8.2717          5.3119         26.2822
          3.7400         29.3337         23.6329         33.2022
          3.7600         15.3847         12.0029         18.1872
          3.7800         17.7507        -10.2801         -1.3718
          3.8000         26.8557         -2.9961         -7.7198
          3.8200        -18.9703         17.1849          6.0782
          3.8400        -42.0803         26.4359          6.8062
          3.8600        -13.2083         27.5589         12.9272
          3.8800          0.1277         -0.7371         24.7482
          3.9000         -6.9333        -27.4481          5.4082
          3.9200          5.2287         -6.8341        -23.6128
          3.9400          6.1507         19.3739        -12.9568
          3.9600        -29.4413         13.4079         11.7242
          3.9800        -50.9013         -6.8141         13.8822
          4.0000        -21.2063        -16.1871          2.9952
          4.0200         41.4527         -6.5521        -11.6118
          4.0400         49.5637         13.6229        -37.5818
          4.0600         11.2337         14.9879        -53.5458
          4.0800        -19.1483         -3.8461        -28.3938
          4.1000        -43.7843         -9.9611         22.2792
          4.1200        -36.8363          5.7559         41.5542
          4.1400         -2.6873         27.1269         29.0922
          4.1600         11.8297         30.9739         17.9592
          4.1800          3.9137          4.1309          0.9262
          4.2000          8.4307        -10.6031        -16.3058
          4.2200          5.8537         -2.7931        -13.4408
          4.2400        -23.2223         -0.1591          2.1792
          4.2600        -21.0173         -8.4511         -2.4638
          4.2800         12.2547        -20.4361        -10.8638
          4.3000         18.4427        -22.9571         -6.3548
          4.3200         -5.7583        -12.9771         -7.0708
          4.3400        -19.0173          1.7859        -16.2188
          4.3600          2.7267         13.4869        -23.6478
          4.3800          3.6577         21.8709         -4.4408
          4.4000        -15.6813          9.2359         24.4412
          4.4200         -8.3753        -15.6671         12.4332
          4.4400         27.1497        -18.8321        -22.9058
          4.4600         16.8697         -2.1111        -16.5848
          4.4800         -9.6983         -5.9021         10.5382
          4.5000        -17.9393        -18.9981         12.3162
          4.5200        -19.0873         -9.5351         17.5512
          4.5400          1.3997         10.7019          1.1852
          4.5600         21.0787         27.9489        -26.0908
          4.5800          2.0207         33.1899        -38.5038
          4.6000        -38.4383          9.6509        -30.0098
          4.6200        -46.5333         -6.6831        -12.9008
          4.6400        -35.2183          2.3169          0.0642
          4.6600        -25.4533         25.6039         25.6762
          4.6800        -10.5913         49.2059         22.5982
          4.7000         17.6407         44.3519         -1.0118
          4.7200         30.9447          1.5939        -17.7758
          4.7400         22.2807        -42.7301         -8.5168
          4.7600         11.0827        -64.6211         -2.7618
          4.7800          7.1087        -33.2651        -10.2338
          4.8000          6.6677        -13.5671          9.5582
          4.8200         14.6317        -11.3261         24.4762
          4.8400         32.6367         14.9879         19.7772
          4.8600         44.9357         26.0849          6.7962
          4.8800         16.5037          2.3179          2.0712
